scenario,route,grouping,window_ms,order_index,req_id,prefix_type,group_key,schedule_wait_ms,prompt_tokens,prefix_tokens,reused_tokens,reuse_hit,model_latency_s,total_latency_s,output_tokens,throughput_tokens_per_s
fifo_w0,route1,fifo,0,0,1,A,fifo_1,0.000,18,18,0,0,7.259716,7.259716,128,17.631543
fifo_w0,route1,fifo,0,1,2,A,fifo_2,0.000,21,21,0,0,7.264806,7.264806,128,17.619189
fifo_w0,route1,fifo,0,2,3,A,fifo_3,0.000,21,21,0,0,7.259678,7.259678,128,17.631635
fifo_w0,route1,fifo,0,3,4,A,fifo_4,0.000,23,23,0,0,7.254882,7.254882,128,17.643292
fifo_w0,route1,fifo,0,4,5,A,fifo_5,0.000,20,20,0,0,7.259980,7.259980,128,17.630902
fifo_w0,route1,fifo,0,5,6,A,fifo_6,0.000,23,23,0,0,3.819101,3.819101,128,33.515743
fifo_w0,route1,fifo,0,6,7,A,fifo_7,0.000,18,18,0,0,3.819026,3.819026,128,33.516402
fifo_w0,route1,fifo,0,7,8,A,fifo_8,0.000,20,20,0,0,3.818922,3.818922,128,33.517310
fifo_w0,route1,fifo,0,8,9,A,fifo_9,0.000,20,20,0,0,3.819933,3.819933,128,33.508437
fifo_w0,route1,fifo,0,9,10,A,fifo_10,0.000,20,20,0,0,3.814866,3.814866,128,33.552948
fifo_w0,route1,fifo,0,10,11,B,fifo_11,0.000,21,21,0,0,3.817895,3.817895,128,33.526330
fifo_w0,route1,fifo,0,11,12,B,fifo_12,0.000,21,21,0,0,3.823714,3.823714,128,33.475307
fifo_w0,route1,fifo,0,12,13,B,fifo_13,0.000,19,19,0,0,3.815732,3.815732,128,33.545336
fifo_w0,route1,fifo,0,13,14,B,fifo_14,0.000,19,19,0,0,3.815796,3.815796,128,33.544773
fifo_w0,route1,fifo,0,14,15,B,fifo_15,0.000,21,21,0,0,3.815788,3.815788,128,33.544842
fifo_w0,route1,fifo,0,15,16,B,fifo_16,0.000,21,21,0,0,3.808484,3.808484,128,33.609170
fifo_w0,route1,fifo,0,16,17,B,fifo_17,0.000,21,21,0,0,3.804613,3.804613,128,33.643370
fifo_w0,route1,fifo,0,17,18,B,fifo_18,0.000,21,21,0,0,3.810329,3.810329,128,33.592902
fifo_w0,route1,fifo,0,18,19,B,fifo_19,0.000,21,21,0,0,3.806421,3.806421,128,33.627392
fifo_w0,route1,fifo,0,19,20,B,fifo_20,0.000,21,21,0,0,3.802593,3.802593,128,33.661243
fifo_w0,route1,fifo,0,20,21,C,fifo_21,0.000,24,24,0,0,3.832576,3.832576,128,33.397902
fifo_w0,route1,fifo,0,21,22,C,fifo_22,0.000,23,23,0,0,3.839531,3.839531,128,33.337402
fifo_w0,route1,fifo,0,22,23,C,fifo_23,0.000,24,24,0,0,3.834856,3.834856,128,33.378050
fifo_w0,route1,fifo,0,23,24,C,fifo_24,0.000,23,23,0,0,3.838266,3.838266,128,33.348392
fifo_w0,route1,fifo,0,24,25,C,fifo_25,0.000,21,21,0,0,3.828317,3.828317,128,33.435062
fifo_w0,route1,fifo,0,25,26,C,fifo_26,0.000,24,24,0,0,3.815432,3.815432,128,33.547972
fifo_w0,route1,fifo,0,26,27,C,fifo_27,0.000,23,23,0,0,3.800524,3.800524,128,33.679564
fifo_w0,route1,fifo,0,27,28,C,fifo_28,0.000,24,24,0,0,3.805967,3.805967,128,33.631398
fifo_w0,route1,fifo,0,28,29,C,fifo_29,0.000,23,23,0,0,3.797870,3.797870,128,33.703106
fifo_w0,route1,fifo,0,29,30,C,fifo_30,0.000,21,21,0,0,3.798177,3.798177,128,33.700377
fifo_w0,route1,fifo,0,30,31,D,fifo_31,0.000,22,22,0,0,3.846674,3.846674,128,33.275501
fifo_w0,route1,fifo,0,31,32,D,fifo_32,0.000,23,23,0,0,3.810305,3.810305,128,33.593109
fifo_w0,route1,fifo,0,32,33,D,fifo_33,0.000,22,22,0,0,3.624093,3.624093,121,33.387668
fifo_w0,route1,fifo,0,33,34,D,fifo_34,0.000,20,20,0,0,3.847420,3.847420,128,33.269044
fifo_w0,route1,fifo,0,34,35,D,fifo_35,0.000,22,22,0,0,3.838579,3.838579,128,33.345670
fifo_w0,route1,fifo,0,35,36,D,fifo_36,0.000,22,22,0,0,3.675607,3.675607,121,32.919732
fifo_w0,route1,fifo,0,36,37,D,fifo_37,0.000,25,24,0,0,3.845769,3.845769,128,33.283332
fifo_w0,route1,fifo,0,37,38,D,fifo_38,0.000,22,22,0,0,3.842832,3.842832,128,33.308771
fifo_w0,route1,fifo,0,38,39,D,fifo_39,0.000,22,22,0,0,3.842065,3.842065,128,33.315414
fifo_w0,route1,fifo,0,39,40,D,fifo_40,0.000,20,20,0,0,3.839186,3.839186,128,33.340400
fifo_w0,route1,fifo,0,40,41,E,fifo_41,0.000,20,20,0,0,3.551849,3.551849,128,36.037570
fifo_w0,route1,fifo,0,41,42,E,fifo_42,0.000,18,18,0,0,3.574455,3.574455,128,35.809656
fifo_w0,route1,fifo,0,42,43,E,fifo_43,0.000,18,18,0,0,3.577495,3.577495,128,35.779230
fifo_w0,route1,fifo,0,43,44,E,fifo_44,0.000,20,20,0,0,3.578089,3.578089,128,35.773287
fifo_w0,route1,fifo,0,44,45,E,fifo_45,0.000,21,21,0,0,3.578690,3.578690,128,35.767276
fifo_w0,route1,fifo,0,45,46,E,fifo_46,0.000,21,21,0,0,3.751160,3.751160,128,34.122778
fifo_w0,route1,fifo,0,46,47,E,fifo_47,0.000,20,20,0,0,3.749969,3.749969,128,34.133617
fifo_w0,route1,fifo,0,47,48,E,fifo_48,0.000,20,20,0,0,3.751188,3.751188,128,34.122525
fifo_w0,route1,fifo,0,48,49,E,fifo_49,0.000,21,21,0,0,3.751203,3.751203,128,34.122387
fifo_w0,route1,fifo,0,49,50,E,fifo_50,0.000,23,23,0,0,3.750721,3.750721,128,34.126768
fifo_w0,route1,fifo,0,50,51,F,fifo_51,0.000,20,20,0,0,3.893965,3.893965,128,32.871380
fifo_w0,route1,fifo,0,51,52,F,fifo_52,0.000,20,20,0,0,3.896133,3.896133,128,32.853087
fifo_w0,route1,fifo,0,52,53,F,fifo_53,0.000,20,20,0,0,3.891942,3.891942,128,32.888469
fifo_w0,route1,fifo,0,53,54,F,fifo_54,0.000,20,20,0,0,3.891660,3.891660,128,32.890845
fifo_w0,route1,fifo,0,54,55,F,fifo_55,0.000,20,20,0,0,3.891498,3.891498,128,32.892219
fifo_w0,route1,fifo,0,55,56,F,fifo_56,0.000,21,21,0,0,3.909039,3.909039,128,32.744618
fifo_w0,route1,fifo,0,56,57,F,fifo_57,0.000,20,20,0,0,3.929177,3.929177,128,32.576794
fifo_w0,route1,fifo,0,57,58,F,fifo_58,0.000,20,20,0,0,3.937079,3.937079,128,32.511412
fifo_w0,route1,fifo,0,58,59,F,fifo_59,0.000,20,20,0,0,3.937801,3.937801,128,32.505452
fifo_w0,route1,fifo,0,59,60,F,fifo_60,0.000,20,20,0,0,3.938564,3.938564,128,32.499157
fifo_w0,route1,fifo,0,60,61,G,fifo_61,0.000,24,24,0,0,3.919991,3.919991,128,32.653140
fifo_w0,route1,fifo,0,61,62,G,fifo_62,0.000,21,21,0,0,0.343391,0.343391,9,26.209216
fifo_w0,route1,fifo,0,62,63,G,fifo_63,0.000,21,21,0,0,3.911535,3.911535,128,32.723728
fifo_w0,route1,fifo,0,63,64,G,fifo_64,0.000,21,21,0,0,3.912305,3.912305,128,32.717289
fifo_w0,route1,fifo,0,64,65,G,fifo_65,0.000,21,21,0,0,3.912566,3.912566,128,32.715103
fifo_w0,route1,fifo,0,65,66,G,fifo_66,0.000,22,22,0,0,3.918298,3.918298,128,32.667248
fifo_w0,route1,fifo,0,66,67,G,fifo_67,0.000,22,22,0,0,3.994254,3.994254,128,32.046033
fifo_w0,route1,fifo,0,67,68,G,fifo_68,0.000,21,21,0,0,0.404933,0.404933,11,27.165002
fifo_w0,route1,fifo,0,68,69,G,fifo_69,0.000,21,21,0,0,4.003027,4.003027,128,31.975801
fifo_w0,route1,fifo,0,69,70,G,fifo_70,0.000,21,21,0,0,4.003055,4.003055,128,31.975577
fifo_w0,route1,fifo,0,70,71,H,fifo_71,0.000,20,20,0,0,4.008013,4.008013,128,31.936021
fifo_w0,route1,fifo,0,71,72,H,fifo_72,0.000,19,19,0,0,4.015993,4.015993,128,31.872562
fifo_w0,route1,fifo,0,72,73,H,fifo_73,0.000,19,19,0,0,4.058419,4.058419,128,31.539379
fifo_w0,route1,fifo,0,73,74,H,fifo_74,0.000,22,22,0,0,3.994433,3.994433,128,32.044601
fifo_w0,route1,fifo,0,74,75,H,fifo_75,0.000,20,20,0,0,3.993653,3.993653,128,32.050858
